epoch,loss,mAP_50,mAP_75,mAP_90,conf,lr,time
1,0.5790,0.904,0.399,0.023,0.565,0.003400,523
2,0.3452,0.909,0.758,0.111,0.983,0.006700,493
3,0.2843,0.909,0.779,0.088,0.989,0.010000,492
4,0.2619,0.909,0.869,0.139,0.992,0.010000,495
5,0.2460,0.909,0.877,0.083,0.992,0.010000,494
6,0.2416,0.909,0.878,0.110,0.995,0.010000,495
7,0.2331,0.909,0.882,0.099,0.992,0.010000,493
8,0.2303,0.909,0.884,0.107,0.991,0.010000,491
9,0.2295,0.909,0.884,0.150,0.994,0.010000,492
10,0.2295,0.909,0.881,0.134,0.995,0.010000,487
11,0.2208,0.909,0.886,0.145,0.987,0.010000,488
12,0.2221,0.909,0.890,0.109,0.992,0.010000,489
13,0.2206,0.909,0.889,0.150,0.992,0.010000,487
14,0.2204,0.909,0.888,0.149,0.996,0.010000,487
15,0.2210,0.909,0.883,0.114,0.994,0.010000,485
16,0.2155,0.909,0.891,0.151,0.994,0.010000,483
17,0.2156,0.909,0.889,0.111,0.996,0.010000,486
18,0.2123,0.909,0.893,0.155,0.996,0.001000,483
19,0.2062,0.909,0.891,0.152,0.997,0.001000,482
20,0.2045,0.909,0.893,0.156,0.997,0.001000,486
21,0.2064,0.909,0.892,0.156,0.997,0.001000,485
22,0.2086,0.909,0.892,0.157,0.997,0.001000,485
23,0.2046,0.909,0.892,0.153,0.996,0.001000,486
24,0.2068,0.909,0.892,0.155,0.997,0.001000,486
25,0.2080,0.909,0.893,0.156,0.997,0.001000,485
26,0.2065,0.909,0.892,0.156,0.997,0.001000,484
27,0.2058,0.909,0.893,0.155,0.996,0.001000,485
28,0.2087,0.909,0.894,0.157,0.996,0.001000,484
29,0.2102,0.909,0.893,0.153,0.996,0.001000,483
30,0.2065,0.909,0.893,0.153,0.997,0.001000,483
31,0.2089,0.909,0.894,0.158,0.997,0.001000,483
32,0.2088,0.909,0.893,0.156,0.997,0.001000,484
33,0.2085,0.909,0.892,0.156,0.997,0.000100,485
34,0.2064,0.909,0.893,0.158,0.997,0.000100,484
